name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,solarradiation,solarenergy,sunrise,sunset
new york,2018-10-01,24.7,17.6,20.9,16.9,77.9,0.0,0.0,,0,0,31.7,14.5,225.4,91.5,8.1,2018-10-01T06:52:28,2018-10-01T18:38:10
new york,2018-10-02,25.3,19.0,22.3,18.6,80.2,5.849,4.17,rain,0,0,42.5,20.7,176.8,133.7,11.7,2018-10-02T06:53:29,2018-10-02T18:36:31
new york,2018-10-03,23.5,18.1,20.3,15.7,76.5,10.032,12.5,rain,0,0,42.5,15.9,298.2,181.6,15.6,2018-10-03T06:54:31,2018-10-03T18:34:52
new york,2018-10-04,24.5,16.3,20.8,17.6,82.4,0.84,4.17,rain,0,0,29.2,10.1,310.9,119.2,10.1,2018-10-04T06:55:32,2018-10-04T18:33:13
new york,2018-10-05,22.6,15.7,18.7,13.0,69.6,0.0,0.0,,0,0,42.5,19.5,27.3,147.2,12.7,2018-10-05T06:56:34,2018-10-05T18:31:35
new york,2018-10-06,19.6,17.6,18.4,15.6,84.0,0.048,4.17,rain,0,0,27.4,12.2,112.9,29.2,2.4,2018-10-06T06:57:36,2018-10-06T18:29:58
new york,2018-10-07,26.2,19.6,22.8,19.7,83.1,0.0,0.0,,0,0,22.3,11.6,238.4,80.5,7.0,2018-10-07T06:58:38,2018-10-07T18:28:20
new york,2018-10-08,22.8,18.0,19.5,17.6,89.0,0.0,0.0,,0,0,29.9,14.2,71.4,18.6,1.5,2018-10-08T06:59:41,2018-10-08T18:26:44
new york,2018-10-09,24.7,18.9,21.9,19.3,85.7,0.0,0.0,,0,0,23.0,9.4,261.7,64.3,5.6,2018-10-09T07:00:44,2018-10-09T18:25:08
new york,2018-10-10,26.6,21.6,23.2,20.4,84.5,0.0,0.0,,0,0,27.4,19.9,206.0,130.2,11.0,2018-10-10T07:01:47,2018-10-10T18:23:33
new york,2018-10-11,25.1,21.4,22.7,21.1,90.5,18.586,33.33,rain,0,0,47.9,20.5,209.0,43.3,3.8,2018-10-11T07:02:51,2018-10-11T18:21:58
